PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	LYONS, NI; HUTCHESON, K				LYONS, NI; HUTCHESON, K			DISTRIBUTIONAL PROPERTIES OF SIMPSONS INDEX OF DIVERSITY	COMMUNICATIONS IN STATISTICS PART A-THEORY AND METHODS																															0361-0926						1979	8	6					569	574		10.1080/03610927908827782	http://dx.doi.org/10.1080/03610927908827782													WOS:A1979GV54300005
J	Gorelick, R				Gorelick, Root			Combining richness and abundance into a single diversity index using matrix analogues of Shannon's and Simpson's indices	ECOGRAPHY												Shannon's and Simpson's indices have been the most widely accepted measures of ecological diversity for the past fifty years, even though neither statistic accounts for species abundances across geographic locales ("patches"). An abundant species that is endemic to a single patch can be as much of a conservation concern as a rare cosmopolitan species. I extend Shannon's and Simpson's indices to simultaneously account for species richness and relative abundances - i.e. extend them to multispecies metacommunities - by making the inputs to each index a matrix, rather than a vector. The Shannon's index analogue of diversity is mutual entropy of species and patches divided by marginal entropy of the individual geographic patches. The Simpson's index analogue of diversity is a modification of mutual entropy, with the logarithm moved to the outside of the summation, divided by Simpson's index of the patches. Both indices are normalized for number of patches, with the result being inversely proportional to biodiversity. These methods can be extended to account for time-series of such matrices and average age-classes of each species within each patch, as well as provide a measure of spatial coherence of communities.																			0906-7590					AUG	2006	29	4					525	530		10.1111/j.0906-7590.2006.04601.x	http://dx.doi.org/10.1111/j.0906-7590.2006.04601.x													WOS:000240733600007
J	LYONS, NI; HUTCHESON, K				LYONS, NI; HUTCHESON, K			STOPPING RULE BASED ON SIMPSONS INDEX OF DIVERSITY	BIOMETRICS																															0006-341X						1978	34	4					740	740																WOS:A1978GA57900134
J	Subburayalu, S; Sydnor, TD				Subburayalu, S.; Sydnor, T. D.			Assessing street tree diversity in four Ohio communities using the weighted Simpson index	LANDSCAPE AND URBAN PLANNING												Diversity is a key factor which should be considered during planning street replacements and involves assessment of existing street population for various factors especially resistance of trees to pests. Street tree replacement histories in the United States reveal extensive replacement of American elms killed by Dutch elm disease (DED) with maples, or ashes. In turn, these trees are now under attack by Asian longhorn beetle (ALB) and emerald ash borer (EAB). Two commonly used evaluation measure of diversity namely the 10:20:30 rule and the Simpson index takes into account only the number and evenness of the taxa in a street tree population. However these indexes fail to consider the differential functional values of trees which are critical in building a sustainable urban forest while attempting to increase diversity. The proposed weighted Simpson index which weights the absolute abundance of tree taxa based on some functional variable could be used as a guide to identify areas of focus for a community. A case study involving four communities in Ohio namely Toledo, Westerville, Dublin and Yellow Springs was conducted to examine the usefulness of the weighted Simpson Index. Three functional variables including environmental benefits, pest vulnerability and taxon adaptability at three different taxonomic levels, family, genus and species, were used to arrive at the weighted Simpson indexes for the four communities. Results revealed the usefulness of weighted Simpson Index in exposing areas of concern for each community. Generally all the four communities were lacking larger statured trees with greater environmental benefits. (C) 2012 Elsevier B.V. All rights reserved.																			0169-2046	1872-6062				MAY 15	2012	106	1					44	50		10.1016/j.landurbplan.2012.02.004	http://dx.doi.org/10.1016/j.landurbplan.2012.02.004													WOS:000304075200006
J	LYONS, NI; HUTCHESON, K				LYONS, NI; HUTCHESON, K			STOPPING RULE BASED ON SIMPSONS INDEX OF DIVERSITY	JOURNAL OF THEORETICAL BIOLOGY																															0022-5193						1979	77	4					497	503		10.1016/0022-5193(79)90022-5	http://dx.doi.org/10.1016/0022-5193(79)90022-5								491693					WOS:A1979HA14600007
J	HUNTER, PR; GASTON, MA				HUNTER, PR; GASTON, MA			NUMERICAL INDEX OF THE DISCRIMINATORY ABILITY OF TYPING SYSTEMS - AN APPLICATION OF SIMPSONS INDEX OF DIVERSITY	JOURNAL OF CLINICAL MICROBIOLOGY																	Hunter, Paul/N-9021-2019; Hunter, Paul/A-7172-2008	Hunter, Paul/0000-0002-5608-6144; 													0095-1137	1098-660X				NOV	1988	26	11					2465	2466		10.1128/JCM.26.11.2465-2466.1988	http://dx.doi.org/10.1128/JCM.26.11.2465-2466.1988								3069867					WOS:A1988Q532900056
J	Zhang, ZY; Zhou, J				Zhang, Zhiyi; Zhou, Jun			Re-parameterization of multinomial distributions and diversity indices	JOURNAL OF STATISTICAL PLANNING AND INFERENCE												It is shown in this paper that the parameters of a multinomial distribution may be re-parameterized as a set of generalized Simpson's diversity indices. There are two important elements in the generalization: (1) Simpson's diversity index is extended to populations with infinite species: (2) weighting schemes are incorporated. A class of unbiased estimators for the generalized Simpson's biodiversity indices is proposed. Asymptotic normality is established for the estimators. Both the unbiasedness and the asymptotic normality of the estimators hold for all three cases of the number of species in the population: infinite, finite and known, and finite but unknown. In the case of a population with a finite number of species, known or unknown, it is also established that the proposed estimators are uniformly minimum variance unbiased and are asymptotically efficient. (C) 2009 Elsevier B.V. All rights reserved.																			0378-3758	1873-1171				JUL	2010	140	7					1731	1738		10.1016/j.jspi.2009.12.023	http://dx.doi.org/10.1016/j.jspi.2009.12.023													WOS:000276369000010
J	Itô, Y				Ito, Yosiaki			Recommendations for the use of species diversity indices with reference to a recently published article as an example	ECOLOGICAL RESEARCH												There are some recommendations for the use of species diversity indices in a paper recently published in this journal by M. Ohsawa on the species richness and composition of weevils in five forest types in the middle region of Japan. Because several factors, such as small sample size, calculation of Simpson's diversity index by the use of the original equation of Simpson's measure of concentration D, and a weak point in the Shannon-Wiener diversity index H', may have led to biased estimates, I recalculated these indices using combined species diversity values of the five forest types. As the general tendencies of 1-D and H' values calculated here were similar to those in Ohsawa's paper, there is no need to propose any change to his view. However, these recalculated diversity indices indicated that they are values which are more suitable for use. It should be noted that the characteristics and weak point associated with the diversity indices need to be taken into account in future studies.																			0912-3814	1440-1703				JUL	2007	22	4					703	705		10.1007/s11284-006-0057-1	http://dx.doi.org/10.1007/s11284-006-0057-1													WOS:000247638400022
J	Ke, XD; Su, ZY; Hu, YQ; Zhou, Y; Xu, MF				Ke, Xiandong; Su, Zhiyao; Hu, Yanqiu; Zhou, Yi; Xu, Mingfeng			MEASURING SPECIES DIVERSITY IN A SUBTROPICAL FOREST ACROSS A TREE SIZE GRADIENT: A COMPARISON OF DIVERSITY INDICES	PAKISTAN JOURNAL OF BOTANY												Shannon-Wiener index and Simpson's diversity index together with other metrics, e.g., richness, number of stems per species or species-specific density (N: S ratio), and kurtosis, were applied to characterize the woody plant diversity patterns of a subtropical broadleaved forest in south China. The aims of our study were to compare the efficacy and sensitivity to community diversity measures between Shannon-Wiener index and Simpson's diversity index. Tree census data from a 5-ha sample plot was partitioned into 3 datasets by diameter class to represent 3 distinct woody plant communities for the characterization of diversity across communities. The 5-ha sample plot of the forest had a total abundance of 23,301 treestems >= 1 cm DBH and a richness of 139 species. The majority of tree stems were seedlings (41.1%) and saplings (38.8%), whereas canopy trees only accounted for 20.1% of the total tree stems. Both Shannon-Wiener index and Simpson's diversity index decreased significantly in response to a decrease in the N: S ratio across the datasets, but Shannon-Wiener index was more sensitive to plot-based richness changes and had a higher efficacy in predicting changes in species richness. Our findings are contrary to the general belief that Shannon-Wiener index is an insensitive measure of the character of the N: S relationship and have demonstrated that it remains a good measure for species diversity in plant community studies for its sensitivity and efficacy. We also suggest that the kurtosis statistic can be used as a new diversity measure due to its sensitivity to diversity change.					qi, li/JFE-7167-2023; Wang, Zhonglin/JVZ-9007-2024														0556-3321	2070-3368				AUG	2017	49	4					1373	1379																WOS:000412623400020
J	CASO, C; GIL, MA				CASO, C; GIL, MA			THE GINI-SIMPSON INDEX OF DIVERSITY - ESTIMATION IN THE STRATIFIED SAMPLING	COMMUNICATIONS IN STATISTICS-THEORY AND METHODS																	; RG, SMABSS/N-3322-2018; Gil, Maria Angeles/B-6568-2014	Research Group, SMIRE+CoDiRE/0000-0002-8871-4942; RG, SMABSS/0000-0001-9944-3861; Gil, Maria Angeles/0000-0003-0096-104X													0361-0926						1988	17	9					2981	2995		10.1080/03610928808829784	http://dx.doi.org/10.1080/03610928808829784													WOS:A1988Q495400010
J	Chernov, TI; Tkhakakhova, AK; Kutovaya, OV				Chernov, T. I.; Tkhakakhova, A. K.; Kutovaya, O. V.			Assessment of diversity indices for the characterization of the soil prokaryotic community by metagenomic analysis	EURASIAN SOIL SCIENCE												The diversity indices used in ecology for assessing the metagenomes of soil prokaryotic communities at different phylogenetic levels were compared. The following indices were considered: the number of detected taxa and the Shannon, Menhinick, Margalef, Simpson, Chao1, and ACE indices. The diversity analysis of the prokaryotic communities in the upper horizons of a typical chernozem (Haplic Chernozem (Pachic)), a dark chestnut soil (Haplic Kastanozem (Chromic)), and an extremely arid desert soil (Endosalic Calcisol (Yermic)) was based on the analysis of 16S rRNA genes. The Menhinick, Margalef, Chao1, and ACE indices gave similar results for the classification of the communities according to their diversity levels; the Simpson index gave good results only for the high-level taxa (phyla); the best results were obtained with the Shannon index. In general, all the indices used showed a decrease in the diversity of the soil prokaryotes in the following sequence: chernozem > dark chestnut soil > extremely arid desert soil.					Chernov, Timofey/B-8985-2018; Tkhakakhova, Azida/U-9651-2019	Tkhakakhova, Azida/0000-0001-9375-2364; Chernov, Timofey/0000-0002-5308-6659													1064-2293	1556-195X				APR	2015	48	4					410	415		10.1134/S1064229315040031	http://dx.doi.org/10.1134/S1064229315040031													WOS:000352896700008
J	MAGNUSSEN, S; BOYLE, TJB				MAGNUSSEN, S; BOYLE, TJB			ESTIMATING SAMPLE-SIZE FOR INFERENCE ABOUT THE SHANNON-WEAVER AND THE SIMPSON INDEXES OF SPECIES-DIVERSITY	FOREST ECOLOGY AND MANAGEMENT												A framework for a priori estimation of the expected sampling variances of the Shannon-Weaver and the Simpson indices of species diversity is developed by the introduction of the most probable relative species abundance distribution (MOPSAD). MOPSAD gives the prior probability of a species' relative abundance. The beta distribution is used here as the prior for MOPSAD. Sample sizes needed for efficient statistical inference and hypothesis testing about the two indices are provided for 16 distinct beta priors for MOPSAD. Shannon-Weaver and Simpson's diversity indices in plant communities expected to have a 'U'-shaped or a J-shaped MOPSAD will have large sampling variances. For the same statistical resolution the Simpson index requires about nine times as many samples as the Shannon-Weaver index. The impact of a positive or negative spatial association among species on the variance of the diversity indices was also assessed. In general, spatial association had little impact on the variance of the indices; it suffices to increase the sample size by about 5% as a safeguard against variance inflation due to spatial associations.						magnussen, steen/0000-0002-5655-768X													0378-1127	1872-7042				OCT	1995	78	1-3					71	84		10.1016/0378-1127(95)03596-1	http://dx.doi.org/10.1016/0378-1127(95)03596-1													WOS:A1995TJ78800006
J	Keylock, CJ				Keylock, CJ			Simpson diversity and the Shannon-Wiener index as special cases of a generalized entropy	OIKOS												Many indices for measuring species diversity have been proposed. In this article, a link is noted between a common family of diversity indices and non-additive statistical mechanics. This makes the Shannon index and the Simpson diversity (or Gini coefficient) special cases of a more general index. The general index includes a parameter q that can be interpreted from a statistical mechanics perspective for systems with an underlying (multi) fractal structure. A q-generalised version of the Zipf-Mandelbrot distribution sometimes used to characterise rank-abundance relationships may be obtained by maximising this entropy.					Keylock, Christopher/AAG-4398-2019; Keylock, Christopher J/B-8041-2010	Keylock, Christopher/0000-0002-9517-9896; Keylock, Christopher J/0000-0002-9517-9896													0030-1299	1600-0706				APR	2005	109	1					203	207		10.1111/j.0030-1299.2005.13735.x	http://dx.doi.org/10.1111/j.0030-1299.2005.13735.x													WOS:000227174800021
J	Morris, EK; Caruso, T; Buscot, F; Fischer, M; Hancock, C; Maier, TS; Meiners, T; Müller, C; Obermaier, E; Prati, D; Socher, SA; Sonnemann, I; Wäschke, N; Wubet, T; Wurst, S; Rillig, MC				Morris, E. Kathryn; Caruso, Tancredi; Buscot, Francois; Fischer, Markus; Hancock, Christine; Maier, Tanja S.; Meiners, Torsten; Mueller, Caroline; Obermaier, Elisabeth; Prati, Daniel; Socher, Stephanie A.; Sonnemann, Ilja; Waeschke, Nicole; Wubet, Tesfaye; Wurst, Susanne; Rillig, Matthias C.			Choosing and using diversity indices: insights for ecological applications from the German Biodiversity Exploratories	ECOLOGY AND EVOLUTION												Biodiversity, a multidimensional property of natural systems, is difficult to quantify partly because of the multitude of indices proposed for this purpose. Indices aim to describe general properties of communities that allow us to compare different regions, taxa, and trophic levels. Therefore, they are of fundamental importance for environmental monitoring and conservation, although there is no consensus about which indices are more appropriate and informative. We tested several common diversity indices in a range of simple to complex statistical analyses in order to determine whether some were better suited for certain analyses than others. We used data collected around the focal plant Plantago lanceolata on 60 temperate grassland plots embedded in an agricultural landscape to explore relationships between the common diversity indices of species richness (S), Shannon's diversity (H'), Simpson's diversity (D-1), Simpson's dominance (D-2), Simpson's evenness (E), and Berger-Parker dominance (BP). We calculated each of these indices for herbaceous plants, arbuscular mycorrhizal fungi, aboveground arthropods, belowground insect larvae, and P.lanceolata molecular and chemical diversity. Including these trait-based measures of diversity allowed us to test whether or not they behaved similarly to the better studied species diversity. We used path analysis to determine whether compound indices detected more relationships between diversities of different organisms and traits than more basic indices. In the path models, more paths were significant when using H', even though all models except that with E were equally reliable. This demonstrates that while common diversity indices may appear interchangeable in simple analyses, when considering complex interactions, the choice of index can profoundly alter the interpretation of results. Data mining in order to identify the index producing the most significant results should be avoided, but simultaneously considering analyses using multiple indices can provide greater insight into the interactions in a system.					Morris, Kathryn/I-4701-2014; Fischer, Markus/C-6411-2008; Wubet, Tesfaye/C-6241-2012; Meiners, Torsten/C-7290-2013; Rillig, Matthias C./AAE-6980-2019; Caruso, Tancredi/H-1103-2012; BUSCOT, Francois/A-4125-2016; Muller, Caroline/G-5073-2011	Wubet, Tesfaye/0000-0001-8572-4486; Meiners, Torsten/0000-0002-6607-8463; Rillig, Matthias C./0000-0003-3541-7853; Socher, Stephanie/0000-0002-0090-4005; Caruso, Tancredi/0000-0002-3607-9609; BUSCOT, Francois/0000-0002-2364-0006; Muller, Caroline/0000-0002-8447-534X													2045-7758					SEP	2014	4	18					3514	3524		10.1002/ece3.1155	http://dx.doi.org/10.1002/ece3.1155								25478144					WOS:000342846600002
J	Vanpeteghem, D; Zemb, O; Haegeman, B				Vanpeteghem, Dimitri; Zemb, Olivier; Haegeman, Bart			Dynamics of neutral biodiversity	MATHEMATICAL BIOSCIENCES												Hubbell's neutral model has become a major paradigm in ecology. Whereas the steady-state structure is well understood, results about the dynamical aspects of the model are scarce. Here we derive dynamical equations for the Simpson diversity index. Both mean and variance of the diversity are proven to satisfy stable linear system dynamics. We show that in the stationary limit we indeed recover previous results, and we supplement this with numerical simulations to validate the dynamical part of our analytical computations. These findings are especially relevant for experiments in microbial ecology, where the Simpson diversity index can be accurately measured as a function of time. (c) 2008 Elsevier Inc. All rights reserved.					zemb, olivier/D-2460-2014	zemb, olivier/0000-0003-3900-5522; Haegeman, Bart/0000-0003-2325-4727													0025-5564	1879-3134				MAR	2008	212	1					88	98		10.1016/j.mbs.2008.01.002	http://dx.doi.org/10.1016/j.mbs.2008.01.002								18291426					WOS:000254730600005
J	Thukral, AK; Bhardwaj, R; Kumar, V; Sharma, A				Thukral, Ashwani Kumar; Bhardwaj, Renu; Kumar, Vinod; Sharma, Anket			New indices regarding the dominance and diversity of communities, derived from sample variance and standard deviation	HELIYON												Dominance and diversity are important characteristics for the description of communities. The most commonly used indices are Simpson's dominance indexand Shannon's and Simpson's indices of diversity. This paper uses the basic concepts of statistics as applied to community analysis to develop new dominance and diversity indices that will enable scientists to establish correlations among various indices. The present study proves that the variance of the number of individuals of different species in a sample can be used to calculateSimpson's dominance and diversity indices. New indices have been developed from the ratios ofthe variance to number of species, and the mean number of individuals per species in a quadrat. A wide range of data, varying from high dominance to high evenness, was simulated for 25 quadrats, with each quadrat having ten species and 100 individuals in different combinations. Variance and standard deviation-based indices were computed using the simulated data and were found to be highly correlated with Simpson's and Shannon's indices. The proposed indices will give both the dominance and diversity of a community on the same scale based on the same statistic. Another important contribution of the present study relates to the variance of a sample consisting of a single value. It has been proved that the variance of a sample having only one value is equal to the square of that value. The paper establishes a new link between diversity studies and statistics.					Bhardwaj, Renu/AAA-6359-2020; Sharma, Anket/L-4200-2018; Kumar, Vinod/HOF-0388-2023; Kumar, Vinod/AFH-8309-2022; Thukral, Ashwani/S-9646-2017	Sharma, Anket/0000-0002-5251-9045; Kumar, Vinod/0000-0001-6142-1026; Thukral, Ashwani/0000-0002-8665-7489; Bhardwaj, Renu/0000-0001-7523-5654														2405-8440				OCT	2019	5	10							e02606	10.1016/j.heliyon.2019.e02606	http://dx.doi.org/10.1016/j.heliyon.2019.e02606								31667419					WOS:000494641300122
